id,age_range,country
2931,55-64,ES
2932,25-34,BR
2933,35-44,KR
2934,18-24,ZA
2935,18-24,FR
2936,55-64,DE
2937,45-54,CO
2938,45-54,ES
2939,<18,PT
2940,55-64,NL
2941,25-34,GB
2942,25-34,DE
2943,35-44,US
2944,18-24,BR
2945,45-54,CL
2946,35-44,CA
2947,18-24,AR
2948,18-24,AU
2949,18-24,AU
2950,<18,CN
2951,35-44,AR
2952,55-64,TR
2953,<18,KR
2954,<18,RU
2955,35-44,ES
2956,45-54,NL
2957,25-34,SE
2958,25-34,NL
2959,35-44,EG
2960,25-34,NL
2961,<18,AU
2962,45-54,JP
2963,35-44,CA
2964,35-44,NL
2965,45-54,BR
2966,35-44,CN
2967,18-24,AR
2968,25-34,GB
2969,18-24,IT
2970,18-24,CA
2971,35-44,PT
2972,55-64,SE
2973,65+,ES
2974,35-44,US
2975,18-24,CO
2976,18-24,KR
2977,45-54,KR
2978,35-44,DE
2979,35-44,ES
2980,45-54,JP
2981,45-54,TR
2982,45-54,PT
2983,<18,US
2984,45-54,CL
2985,55-64,CN
2986,25-34,CN
2987,35-44,CL
2988,25-34,TR
2989,65+,CO
2990,<18,MX
2991,35-44,IT
2992,18-24,CN
2993,45-54,EG
2994,18-24,TR
2995,18-24,DE
2996,25-34,IN
2997,55-64,ZA
2998,18-24,CO
2999,18-24,AU
3000,45-54,SE
3001,25-34,ES
3002,55-64,CN
3003,18-24,SE
3004,35-44,DE
3005,18-24,MX
3006,18-24,CL
3007,35-44,PT
3008,35-44,AU
3009,45-54,RU
3010,25-34,MX
3011,25-34,GB
3012,25-34,JP
3013,65+,PT
3014,25-34,NG
3015,25-34,CN
3016,25-34,EG
3017,35-44,US
3018,25-34,NL
3019,55-64,PT
3020,25-34,GB
3021,55-64,US
3022,18-24,NG
3023,35-44,SE
3024,55-64,KR
3025,18-24,CA
3026,65+,IN
3027,25-34,KR
3028,65+,RU
3029,35-44,ES
3030,25-34,RU
3031,18-24,IT
3032,25-34,NL
3033,18-24,KR
3034,18-24,PT
3035,18-24,AU
3036,25-34,CO
3037,45-54,MX
3038,18-24,BR
3039,18-24,AR
3040,35-44,NG
3041,18-24,NG
3042,18-24,CL
3043,18-24,JP
3044,55-64,AR
3045,45-54,CL
3046,25-34,PT
3047,35-44,KR
3048,35-44,GB
3049,35-44,CL
3050,35-44,AR
3051,35-44,ZA
3052,25-34,BR
3053,<18,US
3054,25-34,PT
3055,55-64,CA
3056,35-44,SE
3057,45-54,PT
3058,65+,EG
3059,18-24,IN
3060,35-44,CA
3061,35-44,ES
3062,65+,JP
3063,65+,RU
3064,35-44,NL
3065,25-34,CL
3066,45-54,EG
3067,18-24,TR
3068,45-54,AR
3069,55-64,CL
3070,25-34,IT
3071,35-44,RU
3072,25-34,CN
3073,25-34,CO
3074,25-34,MX
3075,45-54,CO
3076,55-64,IN
3077,65+,NL
3078,18-24,EG
3079,55-64,BR
3080,45-54,ZA
3081,25-34,KR
3082,18-24,TR
3083,25-34,AU
3084,55-64,TR
3085,35-44,PT
3086,45-54,EG
3087,25-34,FR
3088,45-54,IT
3089,<18,CL
3090,25-34,KR
3091,35-44,FR
3092,18-24,KR
3093,45-54,JP
3094,18-24,CA
3095,35-44,TR
3096,25-34,RU
3097,35-44,AR
3098,18-24,PT
3099,<18,CL
3100,55-64,FR
3101,25-34,CO
3102,45-54,KR
3103,65+,MX
3104,18-24,NG
3105,25-34,AR
3106,35-44,JP
3107,65+,NL
3108,55-64,AR
3109,25-34,CA
3110,45-54,US
3111,18-24,GB
3112,65+,AR
3113,65+,NG
3114,18-24,CL
3115,25-34,RU
3116,18-24,ES
3117,25-34,AU
3118,45-54,AU
3119,25-34,KR
3120,18-24,US
3121,25-34,KR
3122,65+,DE
3123,35-44,ES
3124,25-34,ZA
3125,18-24,BR
3126,65+,CN
3127,45-54,AU
3128,25-34,DE
3129,18-24,US
3130,<18,JP
3131,18-24,AU
3132,35-44,CN
3133,55-64,KR
3134,25-34,CL
3135,55-64,JP
3136,25-34,BR
3137,45-54,NG
3138,45-54,DE
3139,18-24,US
3140,25-34,IT
3141,35-44,RU
3142,18-24,MX
3143,25-34,AU
3144,35-44,US
3145,65+,MX
3146,25-34,NL
3147,45-54,AU
3148,25-34,CO
3149,45-54,CO
3150,35-44,IT
3151,55-64,RU
3152,25-34,MX
3153,35-44,TR
3154,35-44,DE
3155,25-34,NL
3156,18-24,BR
3157,18-24,IT
3158,<18,ZA
3159,55-64,CO
3160,18-24,ZA
3161,18-24,IT
3162,45-54,AR
3163,25-34,GB
3164,25-34,JP
3165,18-24,FR
3166,65+,PT
3167,55-64,CO
3168,55-64,DE
3169,25-34,IT
3170,45-54,IT
3171,18-24,CN
3172,<18,CO
3173,<18,PT
3174,35-44,AR
3175,25-34,AU
3176,25-34,CO
3177,<18,CA
3178,25-34,ES
3179,45-54,FR
3180,25-34,US
3181,45-54,US
3182,18-24,SE
3183,45-54,NG
3184,35-44,IN
3185,18-24,MX
3186,18-24,AR
3187,35-44,GB
3188,45-54,ES
3189,25-34,MX
3190,25-34,CL
3191,55-64,MX
3192,35-44,PT
3193,25-34,AU
3194,25-34,BR
3195,18-24,NL
3196,35-44,CO
3197,25-34,KR
3198,65+,IN
3199,25-34,MX
3200,25-34,BR
3201,35-44,NL
3202,55-64,RU
3203,45-54,FR
3204,25-34,KR
3205,45-54,KR
3206,35-44,BR
3207,25-34,KR
3208,18-24,SE
3209,25-34,FR
3210,25-34,PT
3211,55-64,NG
3212,25-34,CO
3213,65+,SE
3214,35-44,AU
3215,35-44,RU
3216,35-44,BR
3217,18-24,GB
3218,25-34,CN
3219,18-24,EG
3220,35-44,BR
3221,25-34,EG
3222,45-54,CA
3223,18-24,BR
3224,18-24,SE
3225,25-34,IT
3226,55-64,IT
3227,45-54,CO
3228,25-34,FR
3229,25-34,PT
3230,18-24,RU
3231,65+,TR
3232,35-44,CN
3233,25-34,ES
3234,35-44,CO
3235,18-24,CN
3236,65+,IN
3237,18-24,CA
3238,35-44,CL
3239,25-34,KR
3240,45-54,EG
3241,45-54,AU
3242,35-44,AU
3243,35-44,DE
3244,55-64,AR
3245,18-24,PT
3246,25-34,JP
3247,25-34,EG
3248,65+,RU
3249,25-34,ZA
3250,45-54,JP
3251,35-44,PT
3252,18-24,PT
3253,18-24,ZA
3254,25-34,CA
3255,25-34,NL
3256,18-24,IN
3257,<18,PT
3258,55-64,AR
3259,65+,JP
3260,25-34,DE
3261,25-34,ES
3262,<18,KR
3263,35-44,SE
3264,45-54,FR
3265,18-24,RU
3266,18-24,CL
3267,45-54,JP
3268,35-44,IN
3269,<18,SE
3270,35-44,TR
3271,25-34,NG
3272,25-34,TR
3273,45-54,FR
3274,45-54,ZA
3275,25-34,IT
3276,65+,GB
3277,25-34,CL
3278,45-54,CO
3279,25-34,KR
3280,55-64,CL
3281,55-64,BR
3282,18-24,CO
3283,55-64,NG
3284,45-54,IT
3285,45-54,FR
3286,18-24,CO
3287,45-54,CA
3288,55-64,AU
3289,25-34,IT
3290,65+,CO
3291,<18,SE
3292,18-24,CO
3293,35-44,SE
3294,35-44,BR
3295,35-44,IN
3296,<18,NG
3297,65+,DE
3298,<18,CL
3299,18-24,CN
3300,<18,GB
3301,35-44,ZA
3302,55-64,FR
3303,35-44,US
3304,45-54,CA
3305,<18,NL
3306,35-44,PT
3307,25-34,GB
3308,25-34,BR
3309,18-24,US
3310,35-44,AR
3311,25-34,TR
3312,45-54,CL
3313,25-34,AU
3314,18-24,IN
3315,35-44,MX
3316,18-24,FR
3317,55-64,SE
3318,35-44,CA
3319,18-24,CL
3320,65+,NG
3321,25-34,RU
3322,18-24,MX
3323,35-44,RU
3324,25-34,DE
3325,45-54,EG
3326,45-54,MX
3327,65+,CA
3328,25-34,IT
3329,25-34,KR
3330,45-54,RU
3331,18-24,RU
3332,35-44,SE
3333,35-44,FR
3334,18-24,ES
3335,25-34,ZA
3336,55-64,US
3337,55-64,KR
3338,18-24,CN
3339,18-24,NL
3340,25-34,CL
3341,55-64,US
3342,18-24,AU
3343,45-54,IT
3344,18-24,FR
3345,35-44,CL
3346,25-34,TR
3347,45-54,KR
3348,18-24,NL
3349,35-44,NG
3350,18-24,TR
3351,45-54,CO
3352,55-64,MX
3353,18-24,ZA
3354,55-64,RU
3355,35-44,BR
3356,18-24,PT
3357,25-34,CL
3358,18-24,IT
3359,45-54,AR
3360,45-54,PT
3361,18-24,KR
3362,25-34,CN
3363,45-54,ZA
3364,55-64,DE
3365,25-34,SE
3366,65+,AR
3367,35-44,KR
3368,25-34,EG
3369,55-64,TR
3370,25-34,IN
3371,25-34,DE
3372,25-34,NG
3373,55-64,NL
3374,45-54,NL
3375,25-34,TR
3376,25-34,NL
3377,25-34,CA
3378,35-44,FR
3379,18-24,IN
3380,45-54,IN
3381,25-34,BR
3382,25-34,BR
3383,18-24,EG
3384,18-24,RU
3385,65+,IT
3386,25-34,DE
3387,18-24,CL
3388,25-34,NG
3389,25-34,MX
3390,<18,GB
3391,25-34,BR
3392,35-44,KR
3393,35-44,GB
3394,25-34,NL
3395,25-34,JP
3396,65+,IN
3397,25-34,KR
3398,25-34,NG
3399,25-34,IT
3400,25-34,KR
3401,45-54,FR
3402,18-24,BR
3403,45-54,US
3404,<18,TR
3405,25-34,CL
3406,45-54,KR
3407,25-34,FR
3408,35-44,GB
3409,18-24,JP
3410,45-54,KR
3411,<18,MX
3412,55-64,SE
3413,18-24,ZA
3414,55-64,CN
3415,25-34,EG
3416,45-54,CA
3417,25-34,PT
3418,55-64,TR
3419,18-24,ZA
3420,18-24,TR
3421,25-34,FR
3422,18-24,IN
3423,18-24,FR
3424,65+,CO
3425,65+,IT
3426,25-34,CA
3427,55-64,IN
3428,35-44,GB
3429,25-34,PT
3430,45-54,TR
3431,35-44,CL
3432,65+,KR
3433,25-34,EG
3434,35-44,AU
3435,<18,CN
3436,18-24,GB
3437,<18,AR
3438,65+,KR
3439,45-54,CN
3440,45-54,IN
3441,25-34,IT
3442,25-34,ZA
3443,18-24,RU
3444,25-34,RU
3445,25-34,PT
3446,45-54,IN
3447,35-44,EG
3448,18-24,SE
3449,<18,IT
3450,18-24,US
3451,25-34,PT
3452,55-64,ZA
3453,35-44,NG
3454,45-54,NG
3455,25-34,AU
3456,25-34,AR
3457,18-24,NL
3458,55-64,US
3459,45-54,NL
3460,18-24,SE
3461,25-34,SE
3462,25-34,EG
3463,35-44,DE
3464,65+,DE
3465,35-44,CA
3466,35-44,JP
3467,<18,NL
3468,18-24,JP
3469,18-24,IT
3470,<18,AR
3471,45-54,GB
3472,45-54,NG
3473,18-24,CA
3474,45-54,CO
3475,18-24,CL
3476,25-34,NL
3477,25-34,AR
3478,25-34,US
3479,25-34,ZA
3480,25-34,KR
3481,25-34,AR
3482,65+,AU
3483,<18,BR
3484,18-24,CN
3485,<18,CL
3486,35-44,NL
3487,<18,ES
3488,45-54,AR
3489,25-34,TR
3490,35-44,DE
3491,35-44,US
3492,18-24,MX
3493,18-24,RU
3494,25-34,PT
3495,35-44,BR
3496,18-24,BR
3497,18-24,KR
3498,65+,US
3499,<18,DE
3500,45-54,ES
3501,45-54,EG
3502,25-34,NG
3503,18-24,CO
3504,18-24,NG
3505,35-44,JP
3506,35-44,IT
3507,45-54,IT
3508,55-64,CN
3509,35-44,RU
3510,18-24,BR
3511,25-34,NG
3512,55-64,JP
3513,18-24,US
3514,18-24,EG
3515,45-54,IN
3516,25-34,NG
3517,55-64,SE
3518,35-44,CL
3519,18-24,AR
3520,65+,NL
3521,25-34,TR
3522,25-34,JP
3523,25-34,NL
3524,<18,FR
3525,25-34,IT
3526,18-24,PT
3527,25-34,RU
3528,25-34,CO
3529,45-54,DE
3530,45-54,EG
3531,18-24,CO
3532,25-34,AU
3533,25-34,TR
3534,18-24,KR
3535,45-54,MX
3536,45-54,TR
3537,18-24,SE
3538,25-34,CO
3539,18-24,CO
3540,35-44,BR
3541,18-24,TR
3542,65+,CL
3543,45-54,GB
3544,25-34,CN
3545,35-44,TR
3546,55-64,DE
3547,35-44,EG
3548,18-24,EG
3549,25-34,ZA
3550,55-64,KR
3551,35-44,DE
3552,35-44,ZA
3553,55-64,RU
3554,55-64,JP
3555,55-64,US
3556,18-24,KR
3557,35-44,JP
3558,45-54,KR
3559,45-54,TR
3560,35-44,NG
3561,18-24,US
3562,45-54,IN
3563,45-54,FR
3564,18-24,FR
3565,25-34,IT
3566,18-24,CL
3567,25-34,AR
3568,<18,DE
3569,25-34,SE
3570,35-44,DE
3571,35-44,RU
3572,35-44,EG
3573,45-54,EG
3574,18-24,ES
3575,18-24,NL
3576,55-64,JP
3577,18-24,EG
3578,65+,ZA
3579,55-64,ES
3580,25-34,AR
3581,65+,CO
3582,18-24,CN
3583,25-34,AR
3584,35-44,NL
3585,25-34,NL
3586,55-64,JP
3587,18-24,ZA
3588,35-44,PT
3589,35-44,CA
3590,35-44,FR
3591,25-34,FR
3592,25-34,ES
3593,55-64,RU
3594,18-24,GB
3595,45-54,FR
3596,35-44,US
3597,45-54,MX
3598,45-54,EG
3599,18-24,NG
3600,35-44,US
3601,55-64,IT
3602,25-34,JP
3603,65+,IN
3604,25-34,PT
3605,18-24,BR
3606,25-34,CL
3607,65+,AR
3608,25-34,FR
3609,55-64,CL
3610,55-64,ES
3611,25-34,SE
3612,18-24,JP
3613,45-54,RU
3614,25-34,TR
3615,45-54,EG
3616,25-34,TR
3617,25-34,MX
3618,45-54,DE
3619,25-34,US
3620,25-34,JP
3621,25-34,AR
3622,25-34,CA
3623,35-44,MX
3624,45-54,FR
3625,25-34,NL
3626,35-44,IT
3627,35-44,PT
3628,25-34,US
3629,25-34,SE
3630,55-64,US
3631,45-54,GB
3632,35-44,PT
3633,35-44,MX
3634,<18,US
3635,35-44,CO
3636,25-34,US
3637,35-44,ES
3638,25-34,EG
3639,18-24,ES
3640,18-24,GB
3641,65+,AU
3642,25-34,AR
3643,25-34,AU
3644,<18,TR
3645,<18,BR
3646,45-54,NL
3647,35-44,TR
3648,25-34,CL
3649,25-34,KR
3650,45-54,CL
3651,18-24,DE
3652,18-24,DE
3653,25-34,MX
3654,25-34,RU
3655,25-34,CO
3656,35-44,GB
3657,35-44,ZA
3658,45-54,TR
3659,25-34,SE
3660,18-24,US
3661,25-34,FR
3662,65+,IN
3663,35-44,US
3664,45-54,ZA
3665,<18,ZA
3666,25-34,DE
3667,<18,ZA
3668,35-44,ES
3669,55-64,JP
3670,65+,DE
3671,35-44,NL
3672,25-34,US
3673,65+,NL
3674,35-44,IN
3675,18-24,MX
3676,25-34,IN
3677,25-34,RU
3678,25-34,US
3679,25-34,CA
3680,35-44,CO
3681,25-34,JP
3682,18-24,NL
3683,25-34,US
3684,45-54,BR
3685,35-44,CN
3686,25-34,CN
3687,55-64,ES
3688,55-64,NG
3689,18-24,PT
3690,<18,US
3691,45-54,JP
3692,45-54,AU
3693,65+,DE
3694,55-64,AU
3695,35-44,MX
3696,35-44,FR
3697,<18,CA
3698,25-34,FR
3699,25-34,MX
3700,35-44,GB
3701,35-44,DE
3702,45-54,AU
3703,25-34,IT
3704,35-44,US
3705,18-24,ES
3706,25-34,PT
3707,45-54,IN
3708,35-44,NL
3709,65+,IT
3710,25-34,US
3711,25-34,CA
3712,25-34,MX
3713,25-34,ZA
3714,55-64,BR
3715,35-44,RU
3716,55-64,MX
3717,18-24,GB
3718,55-64,IN
3719,<18,AU
3720,55-64,GB
3721,25-34,TR
3722,25-34,GB
3723,25-34,EG
3724,65+,SE
3725,<18,IT
3726,25-34,BR
3727,55-64,US
3728,25-34,IT
3729,18-24,NG
3730,25-34,MX
3731,25-34,RU
3732,55-64,ES
3733,45-54,RU
3734,25-34,DE
3735,65+,ZA
3736,25-34,EG
3737,<18,ZA
3738,25-34,CO
3739,25-34,GB
3740,18-24,DE
3741,65+,PT
3742,45-54,CN
3743,25-34,DE
3744,35-44,MX
3745,45-54,KR
3746,65+,GB
3747,55-64,IT
3748,25-34,BR
3749,45-54,US
3750,35-44,US
3751,35-44,ES
3752,18-24,ZA
3753,18-24,IT
3754,35-44,NL
3755,25-34,FR
3756,<18,EG
3757,45-54,CN
3758,<18,NL
3759,35-44,CL
3760,35-44,US
3761,65+,AU
3762,25-34,CA
3763,18-24,IN
3764,35-44,US
3765,55-64,US
3766,65+,IT
3767,25-34,DE
3768,25-34,RU
3769,55-64,EG
3770,18-24,AR
3771,35-44,KR
3772,25-34,CO
3773,<18,RU
3774,25-34,AU
3775,25-34,CO
3776,35-44,IT
3777,65+,DE
3778,25-34,BR
3779,45-54,NL
3780,<18,CN
3781,35-44,KR
3782,18-24,CA
3783,55-64,FR
3784,45-54,CA
3785,35-44,SE
3786,45-54,PT
3787,35-44,NL
3788,65+,NG
3789,45-54,KR
3790,55-64,NG
3791,25-34,CN
3792,18-24,DE
3793,35-44,KR
3794,18-24,DE
3795,35-44,ES
3796,25-34,GB
3797,35-44,CN
3798,<18,JP
3799,18-24,PT
3800,25-34,CN
3801,65+,NL
3802,25-34,RU
3803,25-34,GB
3804,45-54,ES
3805,35-44,TR
3806,25-34,EG
3807,25-34,NL
3808,18-24,JP
3809,65+,AR
3810,18-24,FR
3811,25-34,IT
3812,<18,TR
3813,18-24,JP
3814,45-54,IT
3815,18-24,CL
3816,18-24,SE
3817,25-34,GB
3818,<18,RU
3819,18-24,CL
3820,45-54,GB
3821,45-54,BR
3822,55-64,RU
3823,55-64,DE
3824,35-44,IN
3825,<18,ES
3826,45-54,MX
3827,55-64,ES
3828,45-54,TR
3829,25-34,BR
3830,18-24,IN
3831,55-64,GB
3832,45-54,AR
3833,65+,CO
3834,18-24,BR
3835,18-24,TR
3836,18-24,TR
3837,45-54,FR
3838,18-24,AU
3839,18-24,AU
3840,65+,EG
3841,<18,CA
3842,45-54,EG
3843,25-34,CL
3844,55-64,AU
3845,35-44,ES
3846,55-64,MX
3847,55-64,DE
3848,<18,CO
3849,18-24,IN
3850,25-34,NG
3851,35-44,BR
3852,55-64,AU
3853,25-34,GB
3854,35-44,IT
3855,18-24,IT
3856,45-54,US
3857,65+,PT
3858,25-34,RU
3859,25-34,US
3860,18-24,PT
3861,35-44,CO
3862,25-34,CO
3863,18-24,BR
3864,25-34,PT
3865,25-34,ZA
3866,35-44,AU
3867,35-44,IT
3868,<18,CL
3869,45-54,TR
3870,45-54,EG
3871,25-34,JP
3872,<18,MX
3873,45-54,CO
3874,65+,MX
3875,25-34,BR
3876,25-34,BR
3877,18-24,AR
3878,35-44,JP
3879,18-24,IN
3880,25-34,CO
3881,35-44,SE
3882,35-44,KR
3883,25-34,PT
3884,25-34,NL
3885,35-44,IN
3886,<18,FR
3887,18-24,AR
3888,55-64,ES
3889,18-24,CN
3890,45-54,FR
3891,55-64,ES
3892,25-34,CA
3893,25-34,JP
3894,35-44,AU
3895,55-64,IN
3896,65+,ZA
3897,45-54,AR
3898,18-24,CA
3899,35-44,JP
3900,25-34,CO
3901,25-34,US
3902,<18,IN
3903,18-24,US
3904,45-54,RU
3905,25-34,EG
3906,25-34,TR
3907,25-34,CL
3908,55-64,PT
3909,45-54,CL
3910,25-34,KR
3911,18-24,BR
3912,25-34,CL
3913,55-64,CN
3914,35-44,GB
3915,35-44,CL
3916,35-44,ZA
3917,25-34,CL
3918,45-54,ZA
3919,35-44,DE
3920,18-24,ZA
3921,18-24,CN
3922,35-44,SE
3923,55-64,ES
3924,25-34,ZA
3925,55-64,SE
3926,45-54,DE
3927,25-34,DE
3928,<18,NL
3929,18-24,IT
3930,45-54,IT
3931,18-24,RU
3932,25-34,KR
3933,25-34,KR
3934,45-54,FR
3935,18-24,JP
3936,25-34,RU
3937,25-34,DE
3938,35-44,NL
3939,45-54,SE
3940,18-24,CL
3941,45-54,ZA
3942,35-44,IT
3943,35-44,AR
3944,35-44,CA
3945,25-34,IN
3946,18-24,BR
3947,35-44,KR
3948,35-44,IT
3949,35-44,CN
3950,25-34,IT
3951,55-64,US
3952,35-44,GB
3953,18-24,EG
3954,25-34,MX
3955,45-54,TR
3956,45-54,JP
3957,25-34,SE
3958,55-64,SE
3959,25-34,GB
3960,25-34,NL
3961,55-64,CL
3962,55-64,DE
3963,35-44,RU
3964,55-64,TR
3965,18-24,PT
3966,55-64,TR
3967,25-34,DE
3968,18-24,CN
3969,18-24,IT
3970,25-34,MX
3971,25-34,DE
3972,25-34,CL
3973,18-24,CA
3974,25-34,CA
3975,35-44,RU
3976,25-34,EG
3977,25-34,ZA
3978,45-54,GB
3979,55-64,SE
3980,45-54,SE
3981,25-34,AR
3982,45-54,MX
3983,18-24,NG
3984,18-24,MX
3985,25-34,IN
3986,45-54,EG
3987,25-34,CO
3988,18-24,KR
3989,18-24,NL
3990,55-64,AU
3991,35-44,DE
3992,25-34,AU
3993,35-44,NG
3994,35-44,AR
3995,35-44,CA
3996,18-24,JP
3997,55-64,CA
3998,25-34,IT
3999,35-44,NL
4000,<18,AR
4001,25-34,NG
4002,25-34,NL
4003,35-44,CO
4004,18-24,TR
4005,45-54,KR
4006,18-24,ZA
4007,35-44,RU
4008,45-54,GB
4009,35-44,MX
4010,45-54,RU
4011,35-44,EG
4012,25-34,NG
4013,45-54,ZA
4014,25-34,PT
4015,35-44,NG
4016,45-54,PT
4017,25-34,GB
4018,25-34,AU
4019,25-34,CL
4020,45-54,CA
4021,55-64,ES
4022,35-44,JP
4023,35-44,KR
4024,55-64,FR
4025,18-24,EG
4026,18-24,CL
4027,45-54,ZA
4028,45-54,BR
4029,55-64,ES
4030,25-34,US
4031,18-24,JP
4032,25-34,JP
4033,18-24,CO
4034,25-34,IT
4035,45-54,FR
4036,18-24,NG
4037,45-54,SE
4038,25-34,KR
4039,35-44,IN
4040,18-24,MX
4041,25-34,JP
4042,18-24,NG
4043,65+,KR
4044,45-54,GB
4045,25-34,ES
4046,18-24,EG
4047,55-64,RU
4048,25-34,CL
4049,18-24,US
4050,35-44,EG
4051,65+,CO
4052,<18,BR
4053,18-24,BR
4054,55-64,JP
4055,18-24,CN
4056,18-24,CA
4057,35-44,GB
4058,55-64,DE
4059,25-34,JP
4060,65+,FR
4061,35-44,NG
4062,18-24,NG
4063,65+,FR
4064,25-34,AU
4065,25-34,KR
4066,35-44,SE
4067,25-34,AR
4068,18-24,SE
4069,<18,CO
4070,25-34,TR
4071,45-54,MX
4072,35-44,ZA
4073,65+,ES
4074,25-34,AU
4075,25-34,NG
4076,18-24,GB
4077,18-24,TR
4078,25-34,JP
4079,45-54,MX
4080,55-64,TR
4081,65+,BR
4082,18-24,SE
4083,55-64,NL
4084,25-34,ES
4085,18-24,IN
4086,55-64,CN
4087,35-44,DE
4088,18-24,RU
4089,25-34,CA
4090,25-34,AU
4091,45-54,EG
4092,25-34,BR
4093,65+,MX
4094,<18,MX
4095,25-34,MX
4096,25-34,US
4097,25-34,CO
4098,25-34,US
4099,45-54,EG
4100,55-64,RU
4101,55-64,SE
4102,45-54,CA
4103,55-64,NL
4104,35-44,US
4105,45-54,EG
4106,25-34,TR
4107,25-34,TR
4108,25-34,DE
4109,25-34,US
4110,25-34,ZA
4111,65+,AU
4112,25-34,JP
4113,18-24,NG
4114,35-44,DE
4115,<18,NG
4116,18-24,CO
4117,18-24,FR
4118,25-34,JP
4119,25-34,JP
4120,45-54,SE
4121,45-54,KR
4122,25-34,KR
4123,25-34,DE
4124,25-34,SE
4125,45-54,CA
4126,<18,US
4127,<18,FR
4128,45-54,CA
4129,25-34,NG
4130,18-24,FR
4131,18-24,DE
4132,55-64,KR
4133,55-64,BR
4134,45-54,KR
4135,25-34,CN
4136,35-44,BR
4137,65+,KR
4138,65+,US
4139,18-24,KR
4140,45-54,GB
4141,18-24,JP
4142,18-24,MX
4143,35-44,AU
4144,25-34,IN
4145,55-64,DE
4146,18-24,IN
4147,25-34,DE
4148,55-64,ZA
4149,55-64,SE
4150,18-24,US
4151,25-34,CO
4152,35-44,NL
4153,18-24,MX
4154,65+,SE
4155,55-64,IT
4156,18-24,IN
4157,18-24,DE
4158,18-24,AU
4159,55-64,IN
4160,18-24,DE
4161,25-34,ZA
4162,25-34,CN
4163,35-44,IN
4164,18-24,ES
4165,18-24,IT
4166,55-64,ES
4167,55-64,SE
4168,45-54,AR
4169,<18,CA
4170,25-34,CN
4171,35-44,BR
4172,25-34,SE
4173,55-64,IN
4174,35-44,EG
4175,18-24,US
4176,55-64,RU
4177,65+,CA
4178,18-24,ES
4179,35-44,BR
4180,25-34,ES
4181,25-34,CA
4182,18-24,GB
4183,35-44,KR
4184,65+,SE
4185,25-34,NL
4186,18-24,JP
4187,35-44,AR
4188,25-34,RU
4189,55-64,PT
4190,25-34,ES
4191,18-24,GB
4192,18-24,RU
4193,45-54,DE
4194,25-34,AU
4195,45-54,CO
4196,18-24,EG
4197,25-34,NL
4198,25-34,JP
4199,65+,IT
4200,55-64,IT
4201,18-24,PT
4202,25-34,AU
4203,18-24,ZA
4204,25-34,ZA
4205,25-34,BR
4206,55-64,JP
4207,55-64,US
4208,25-34,AU
4209,25-34,ES
4210,55-64,TR
4211,45-54,CL
4212,<18,AU
4213,25-34,AR
4214,25-34,NL
4215,18-24,ES
4216,18-24,ES
4217,<18,US
4218,35-44,AR
4219,25-34,RU
4220,<18,RU
4221,18-24,AU
4222,45-54,SE
4223,55-64,CO
4224,25-34,JP
4225,25-34,RU
4226,65+,NL
4227,18-24,DE
4228,18-24,SE
4229,25-34,US
4230,18-24,PT
4231,25-34,GB
4232,55-64,CO
4233,35-44,IN
4234,25-34,BR
4235,55-64,JP
4236,<18,ES
4237,18-24,FR
4238,35-44,CO
4239,35-44,ZA
4240,<18,CA
4241,25-34,PT
4242,35-44,GB
4243,35-44,CN
4244,35-44,PT
4245,25-34,KR
4246,18-24,JP
4247,25-34,EG
4248,18-24,JP
4249,65+,KR
4250,25-34,SE
4251,25-34,US
4252,45-54,AU
4253,25-34,ZA
4254,25-34,FR
4255,45-54,CN
4256,55-64,GB
4257,35-44,DE
4258,<18,DE
4259,35-44,MX
4260,45-54,CA
4261,18-24,US
4262,18-24,SE
4263,55-64,KR
4264,<18,CA
4265,45-54,MX
4266,25-34,ES
4267,25-34,IN
4268,<18,AR
4269,45-54,TR
4270,25-34,PT
4271,35-44,KR
4272,35-44,FR
4273,45-54,EG
4274,65+,US
4275,35-44,IN
4276,25-34,NL
4277,65+,EG
4278,35-44,PT
4279,25-34,AU
4280,18-24,CN
4281,55-64,JP
4282,25-34,NG
4283,35-44,CL
4284,25-34,AU
4285,18-24,CA
4286,35-44,CL
4287,18-24,GB
4288,25-34,TR
4289,35-44,RU
4290,25-34,GB
4291,45-54,US
4292,45-54,BR
4293,45-54,MX
4294,<18,CO
4295,18-24,AU
4296,35-44,IT
4297,55-64,RU
4298,45-54,US
4299,55-64,IT
4300,25-34,JP
4301,25-34,MX
4302,25-34,ES
4303,18-24,TR
4304,<18,IT
4305,65+,IT
4306,25-34,US
4307,18-24,AU
4308,18-24,EG
4309,55-64,JP
4310,35-44,PT
4311,35-44,NL
4312,55-64,ZA
4313,25-34,GB
4314,35-44,RU
4315,<18,JP
4316,18-24,DE
4317,45-54,ES
4318,45-54,SE
4319,25-34,AU
4320,25-34,CN
4321,35-44,KR
4322,<18,CN
4323,25-34,ES
4324,18-24,ZA
4325,25-34,IN
4326,45-54,CN
4327,25-34,CL
4328,18-24,IT
4329,25-34,NG
4330,55-64,AR
4331,25-34,BR
4332,18-24,AR
4333,25-34,AR
4334,45-54,NL
4335,35-44,DE
4336,45-54,DE
4337,65+,CN
4338,45-54,KR
4339,35-44,CO
4340,25-34,IN
4341,<18,IN
4342,65+,GB
4343,25-34,ES
4344,18-24,RU
4345,35-44,CL
4346,25-34,CA
4347,35-44,EG
4348,35-44,CA
